material_id,pretty_formula,work_function,miller_index,surface_energy,fermi_energy,structure_type,symmetry_symbol,atomic_density_3d,c_over_a_ratio,b_over_a_ratio,lattice_alpha,lattice_beta,lattice_gamma,atomic_number,atomic_radius,1st_ionization_energy_eV,electron_affinity_eV,electronegativity,valence_electrons,Youngs_modulus,shear_modulus,bulk_modulus
mp-10018,Ac,2.6373862829595343,"[3, 2, 0]",0.7158645596865836,1.6777,FCC,Fm-3m,0.021642216877362935,1.0,1.0,90.0,90.0,90.0,89,1.95,5.380226,0.35,1.1,3,,,
mp-10018,Ac,2.8122709728147135,"[3, 1, 1]",0.7464755559617601,1.6362,FCC,Fm-3m,0.021642216877362935,1.0,1.0,90.0,90.0,90.0,89,1.95,5.380226,0.35,1.1,3,,,
mp-102,Co,4.417440054984406,"[2, 2, 1]",2.3339364416569963,0.5163,FCC,Fm-3m,0.09223779621333951,1.0,1.0,90.0,90.0,90.0,27,1.35,7.88101,0.66225547,1.88,9,209.0,75.0,180.0
mp-102,Co,4.602451147636327,"[1, 0, 0]",2.4793096920087963,0.54651193,FCC,Fm-3m,0.09223779621333951,1.0,1.0,90.0,90.0,90.0,27,1.35,7.88101,0.66225547,1.88,9,209.0,75.0,180.0
mp-102,Co,4.981727727503907,"[1, 1, 1]",2.042085152551196,0.319,FCC,Fm-3m,0.09223779621333951,1.0,1.0,90.0,90.0,90.0,27,1.35,7.88101,0.66225547,1.88,9,209.0,75.0,180.0
mp-102,Co,4.254496465681836,"[1, 1, 0]",2.4215297476244553,0.43624183,FCC,Fm-3m,0.09223779621333951,1.0,1.0,90.0,90.0,90.0,27,1.35,7.88101,0.66225547,1.88,9,209.0,75.0,180.0
mp-102,Co,4.30909860359204,"[2, 1, 1]",2.518988516167608,0.5511,FCC,Fm-3m,0.09223779621333951,1.0,1.0,90.0,90.0,90.0,27,1.35,7.88101,0.66225547,1.88,9,209.0,75.0,180.0
mp-102,Co,4.34450136359204,"[2, 1, 0]",4.359056953279981,0.51569724,FCC,Fm-3m,0.09223779621333951,1.0,1.0,90.0,90.0,90.0,27,1.35,7.88101,0.66225547,1.88,9,209.0,75.0,180.0
mp-102,Co,4.190385331904903,"[3, 2, 0]",2.5603440021673833,0.65542577,FCC,Fm-3m,0.09223779621333951,1.0,1.0,90.0,90.0,90.0,27,1.35,7.88101,0.66225547,1.88,9,209.0,75.0,180.0
mp-102,Co,4.445445566063716,"[3, 1, 0]",3.433898436411892,2.1281259,FCC,Fm-3m,0.09223779621333951,1.0,1.0,90.0,90.0,90.0,27,1.35,7.88101,0.66225547,1.88,9,209.0,75.0,180.0
mp-102,Co,4.505124180470035,"[3, 1, 1]",3.2790202009254954,0.58201082,FCC,Fm-3m,0.09223779621333951,1.0,1.0,90.0,90.0,90.0,27,1.35,7.88101,0.66225547,1.88,9,209.0,75.0,180.0
mp-102,Co,4.612910475815178,"[3, 3, 2]",3.191351393072369,0.4166,FCC,Fm-3m,0.09223779621333951,1.0,1.0,90.0,90.0,90.0,27,1.35,7.88101,0.66225547,1.88,9,209.0,75.0,180.0
mp-102,Co,4.519882003950132,"[3, 3, 1]",3.639445901670527,0.5198,FCC,Fm-3m,0.09223779621333951,1.0,1.0,90.0,90.0,90.0,27,1.35,7.88101,0.66225547,1.88,9,209.0,75.0,180.0
mp-102,Co,4.8383992783335135,"[3, 2, 2]",3.0454928902696303,1.47106524,FCC,Fm-3m,0.09223779621333951,1.0,1.0,90.0,90.0,90.0,27,1.35,7.88101,0.66225547,1.88,9,209.0,75.0,180.0
mp-102,Co,4.490961194202901,"[3, 2, 1]",2.489023602832043,0.45451063,FCC,Fm-3m,0.09223779621333951,1.0,1.0,90.0,90.0,90.0,27,1.35,7.88101,0.66225547,1.88,9,209.0,75.0,180.0
mp-10658,Dy,2.8984379283729598,"[1, 0, -1, 0]",1.0795586516521425,0.1204,Rhombohedral,R-3m,0.031626982448102525,7.121618966615542,1.0,90.0,90.0,120.00000000000001,66,1.75,5.93905,0.0153,1.22,12,61.0,25.0,41.0
mp-10658,Dy,2.686840690550533,"[2, 1, -3, 1]",1.0441039756053903,0.18089104,Rhombohedral,R-3m,0.031626982448102525,7.121618966615542,1.0,90.0,90.0,120.00000000000001,66,1.75,5.93905,0.0153,1.22,12,61.0,25.0,41.0
mp-10658,Dy,2.9454092271505727,"[1, 0, -1, 2]",1.0032855888558148,0.0910114,Rhombohedral,R-3m,0.031626982448102525,7.121618966615542,1.0,90.0,90.0,120.00000000000001,66,1.75,5.93905,0.0153,1.22,12,61.0,25.0,41.0
mp-10658,Dy,3.1624430045253464,"[0, 0, 0, 1]",1.0051005486094633,0.06381845,Rhombohedral,R-3m,0.031626982448102525,7.121618966615542,1.0,90.0,90.0,120.00000000000001,66,1.75,5.93905,0.0153,1.22,12,61.0,25.0,41.0
mp-10658,Dy,2.65394682657193,"[1, 0, -1, 1]",1.1432267972478056,0.22470263,Rhombohedral,R-3m,0.031626982448102525,7.121618966615542,1.0,90.0,90.0,120.00000000000001,66,1.75,5.93905,0.0153,1.22,12,61.0,25.0,41.0
mp-10658,Dy,2.5490372082004784,"[2, -1, -1, 2]",1.0827182474292774,0.2145,Rhombohedral,R-3m,0.031626982448102525,7.121618966615542,1.0,90.0,90.0,120.00000000000001,66,1.75,5.93905,0.0153,1.22,12,61.0,25.0,41.0
mp-10658,Dy,2.5588940348686258,"[2, 1, -3, 2]",1.073085443052367,0.2148,Rhombohedral,R-3m,0.031626982448102525,7.121618966615542,1.0,90.0,90.0,120.00000000000001,66,1.75,5.93905,0.0153,1.22,12,61.0,25.0,41.0
mp-10658,Dy,2.8401294711434266,"[2, 0, -2, 1]",1.0850353568521118,0.1361,Rhombohedral,R-3m,0.031626982448102525,7.121618966615542,1.0,90.0,90.0,120.00000000000001,66,1.75,5.93905,0.0153,1.22,12,61.0,25.0,41.0
mp-10658,Dy,2.8935238522234488,"[1, 1, -2, 0]",1.0342992000790288,0.949,Rhombohedral,R-3m,0.031626982448102525,7.121618966615542,1.0,90.0,90.0,120.00000000000001,66,1.75,5.93905,0.0153,1.22,12,61.0,25.0,41.0
mp-10658,Dy,2.68057001143204,"[1, 1, -2, 1]",1.0607303884062835,-0.0754,Rhombohedral,R-3m,0.031626982448102525,7.121618966615542,1.0,90.0,90.0,120.00000000000001,66,1.75,5.93905,0.0153,1.22,12,61.0,25.0,41.0
mp-10658,Dy,2.5518796282535683,"[2, 1, -3, 0]",1.073803818290519,0.21191218,Rhombohedral,R-3m,0.031626982448102525,7.121618966615542,1.0,90.0,90.0,120.00000000000001,66,1.75,5.93905,0.0153,1.22,12,61.0,25.0,41.0
mp-10658,Dy,2.5545863799885713,"[2, 2, -4, 1]",1.0557085210807664,0.205,Rhombohedral,R-3m,0.031626982448102525,7.121618966615542,1.0,90.0,90.0,120.00000000000001,66,1.75,5.93905,0.0153,1.22,12,61.0,25.0,41.0
mp-11,As,4.815983758113742,"[1, 0, -1, 1]",0.5471656840417464,-0.084,Rhombohedral,R-3m,0.044219144957054764,2.9596622637618544,1.0,90.0,90.0,120.00000000000001,33,1.15,9.78855,0.8044863,2.18,15,8.0,,22.0
mp-11,As,4.569026800873974,"[2, 1, -3, 1]",0.481638896893964,0.02053136,Rhombohedral,R-3m,0.044219144957054764,2.9596622637618544,1.0,90.0,90.0,120.00000000000001,33,1.15,9.78855,0.8044863,2.18,15,8.0,,22.0
mp-11,As,4.5827148035550875,"[1, 1, -2, 0]",0.5961454273913477,0.0019,Rhombohedral,R-3m,0.044219144957054764,2.9596622637618544,1.0,90.0,90.0,120.00000000000001,33,1.15,9.78855,0.8044863,2.18,15,8.0,,22.0
mp-11,As,4.546606509887117,"[1, 1, -2, 1]",0.5245483548990751,-0.0015,Rhombohedral,R-3m,0.044219144957054764,2.9596622637618544,1.0,90.0,90.0,120.00000000000001,33,1.15,9.78855,0.8044863,2.18,15,8.0,,22.0
mp-11,As,4.458087912403327,"[2, -1, -1, 2]",0.569191945462683,0.0346,Rhombohedral,R-3m,0.044219144957054764,2.9596622637618544,1.0,90.0,90.0,120.00000000000001,33,1.15,9.78855,0.8044863,2.18,15,8.0,,22.0
